@relation 'course-selection-itesm'
% 79 disciplines
% 88 students
@attribute semester { 05,08,01 }
@attribute 'Desar de aplic distr' { t }
@attribute 'Sistemas inteligentes' { t }
@attribute 'Métodos cuantit y simulación' { t }
@attribute 'Redes II' { t }
@attribute 'Anális y mod de sist softw' { t }
@attribute 'Seguridad informática' { t }
@attribute 'Formac ciudadana y comprom soc' { t }
@attribute 'Admón proy de TI y electrónica' { t }
@attribute 'Elaboración reportes técnicos' { t }
@attribute 'Inteligencia computacional' { t }
@attribute 'Aprendizaje automático' { t }
@attribute 'Introduc a gráficas compu' { t }
@attribute 'Probabilidad y estadística' { t }
@attribute 'Traductores' { t }
@attribute 'Ética, profesión y ciudadanía' { t }
@attribute 'Formación desar lider empren' { t }
@attribute 'Sist de info empresar' { t }
@attribute 'Optimización y program lineal' { t }
@attribute 'Taller integ exp prof y desemp' { t }
@attribute 'Consultoría administrativa' { t }
@attribute 'Redes I' { t }
@attribute 'Expr verbal en ámbito profes' { t }
@attribute 'Análisis y diseño de algorit' { t }
@attribute 'Teoría de la computación' { t }
@attribute 'Proy soluc probl con progr' { t }
@attribute 'Ciencia, tecnología y sociedad' { t }
@attribute 'Desarr de sis y bases de datos' { t }
@attribute 'Ecuaciones diferenciales' { t }
@attribute 'Medios, cultura y sociedad' { t }
@attribute 'Taller de análisis y expr verb' { t }
@attribute 'Electricidad y magnetismo' { t }
@attribute 'Introduc interf y aps Internet' { t }
@attribute 'Matemáticas para ing III' { t }
@attribute 'Identidad y cultura mexicana' { t }
@attribute 'Estancia de exper profes II' { t }
@attribute 'Estancia de exper profes III' { t }
@attribute 'Proy integr de tec comp' { t }
@attribute 'Estancia de exper profes IV' { t }
@attribute 'Admón de proy ingeniería de sw' { t }
@attribute 'Programa tutoría' { t }
@attribute 'Estancia de exper profes I' { t }
@attribute 'Redes IP para peq y med empr' { t }
@attribute 'Redes corporativas I' { t }
@attribute 'Ope microempres el desar soc' { t }
@attribute 'Verificación y valid de softw' { t }
@attribute 'Métodos formales de ing softw' { t }
@attribute 'Alemán básico I' { t }
@attribute 'Matemáticas discretas' { t }
@attribute 'Progra y estruct de datos' { t }
@attribute 'Organización computacional' { t }
@attribute 'Matemáticas para ingeniería II' { t }
@attribute 'Física I' { t }
@attribute 'Matemáticas I' { t }
@attribute 'Fundamentos de programación' { t }
@attribute 'Liderazgo empresarial' { t }
@attribute 'Peq empresas y desarro de fran' { t }
@attribute 'Preincubación' { t }
@attribute 'Desarrollo de empresas' { t }
@attribute 'Ética, persona y sociedad' { t }
@attribute 'Arq computac y sis dig' { t }
@attribute 'Eq. Rep. Básquet Varonil Mayor' { t }
@attribute 'Lengua extranjera' { t }
@attribute 'Incubación I' { t }
@attribute 'Comercio electrónico' { t }
@attribute 'Estancia de exper profes V' { t }
@attribute 'Competencias sociales' { t }
@attribute 'Inglés remedial V' { t }
@attribute 'Economía' { t }
@attribute 'Equipo Rep. Fútbol Varonil May' { t }
@attribute 'Francés I' { t }
@attribute 'Inglés remedial IV' { t }
@attribute 'Taller fortalec habil intelec' { t }
@attribute 'Introducción a la física' { t }
@attribute 'Inglés remedial III' { t }
@attribute 'Introducción a la computación' { t }
@attribute 'Fundamentos de la escritura' { t }
@attribute 'Inglés remedial II' { t }
@attribute 'Introducción a las matemáticas' { t }
@attribute 'Inglés remedial I' { t }

@data
05,?,?,t,?,t,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
05,t,t,t,?,t,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,t,?,?,?,?,?,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
05,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
08,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
05,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,t,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
05,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
